segment_id,route,km_marker,rail_temperature_c,vibration_level,track_stress_nm,wear_index_min,track_age_years,traffic_load_trains_per_day,last_inspection_days_ago,defect_detected,infra_risk_score,risk_level
SEG-01058,ERS-MAS,62.1,48.1,2.36,36.4,126,1,199,269,0,36.0,Warning
SEG-01059,MAS-SBC,320.3,31.6,2.54,31.3,128,26,34,56,0,38.5,Warning
SEG-01060,MAS-NZM,162.8,43.1,4.11,21.3,130,10,139,218,0,38.3,Warning
SEG-01061,ERS-MAS,22.1,38.1,1.49,53.8,133,19,129,173,0,44.0,Warning
SEG-01062,MAS-SBC,209.4,43.5,1.47,50.1,138,16,101,40,0,38.3,Warning
SEG-01063,MAS-NZM-2,210.6,41.9,1.19,49.0,140,37,103,359,0,53.9,Warning
SEG-01064,HYB-MAS,22.6,37.4,2.89,32.8,142,4,20,159,0,35.7,Warning
SEG-01065,MAS-NZM,340.4,35.7,1.4,44.3,145,14,158,360,0,44.7,Warning
SEG-01066,MAS-SBC,190.4,43.7,3.2,25.2,148,30,112,32,0,40.8,Warning
SEG-01067,MAS-NZM,195.9,35.2,2.19,40.3,150,7,107,248,0,40.4,Warning
SEG-01068,MAS-CBE,182.0,44.5,1.73,45.7,153,12,103,129,0,39.7,Warning
SEG-01069,MAS-NZM,213.8,42.2,1.32,47.7,155,24,185,291,0,48.3,Warning
SEG-01070,ERS-MAS,92.5,40.3,3.91,24.6,157,39,64,36,0,46.9,Warning
SEG-01071,MAS-CBE,100.5,36.1,1.8,37.2,160,22,93,348,0,47.3,Warning
SEG-01072,ERS-MAS,179.0,32.9,1.5,49.1,163,30,87,66,0,46.0,Warning
SEG-01073,HYB-MAS,282.3,43.1,1.43,46.2,165,39,23,285,0,54.3,Warning
SEG-01074,MAS-CBE,17.5,30.7,1.43,47.5,168,20,67,157,0,44.4,Warning
SEG-01075,MAS-NZM-2,211.2,48.3,2.49,31.7,170,26,116,43,0,41.4,Warning
SEG-01076,MAS-NZM,282.4,48.3,1.03,54.5,172,5,156,275,0,43.5,Warning
SEG-01077,MAS-SBC,54.9,31.4,2.82,35.9,177,6,109,121,0,39.0,Warning
SEG-01078,TVC-LTT,5.3,30.7,2.21,36.5,179,34,194,192,0,50.0,Warning
SEG-01079,MAS-NZM,109.4,37.0,2.84,30.8,181,5,79,354,0,43.7,Warning
SEG-01080,MAS-NZM,205.9,48.1,3.28,28.5,186,10,71,31,0,37.6,Warning
SEG-01081,HYB-MAS,48.4,36.9,3.53,28.0,188,28,143,357,0,54.0,Warning
SEG-01082,MAS-NZM-2,149.1,36.1,2.05,40.2,190,3,105,19,0,35.3,Warning
SEG-01083,TVC-LTT,193.3,43.0,1.47,39.8,192,13,180,285,0,44.6,Warning
SEG-01084,MAS-CBE,209.6,32.4,3.0,32.3,197,2,116,73,0,37.1,Warning
SEG-01085,MAS-CBE,96.0,36.1,1.92,47.1,199,35,67,76,0,51.6,Warning
SEG-01086,MAS-CBE,140.0,34.7,1.26,56.4,202,28,152,188,1,78.5,Critical
SEG-01087,ERS-MAS,272.4,40.9,1.67,49.0,204,37,46,179,0,55.4,High
SEG-01088,ERS-MAS,329.4,32.0,2.22,35.8,206,23,188,338,1,76.8,Critical
SEG-01089,MAS-SBC,301.7,39.7,1.3,43.9,0,23,20,306,0,34.7,Warning
SEG-01090,TVC-LTT,197.5,45.9,4.89,17.5,3,35,70,137,0,36.5,Warning
SEG-01091,MAS-CBE,143.6,39.0,1.72,41.4,6,39,163,162,0,37.6,Warning
SEG-01092,ERS-MAS,116.5,42.5,1.62,46.4,8,32,118,290,0,40.1,Warning
SEG-01093,MAS-SBC,43.7,30.3,3.01,32.0,10,2,119,47,0,21.5,Safe
SEG-01094,MAS-NZM-2,37.3,37.6,1.6,39.2,13,16,179,24,0,24.6,Safe
SEG-01095,MAS-SBC,240.9,30.6,1.08,44.4,16,16,122,336,0,33.7,Warning
SEG-01096,ERS-MAS,90.9,40.7,9.04,9.3,18,3,66,284,1,64.3,High
SEG-01097,HYB-MAS,89.1,34.5,2.98,35.8,20,28,170,174,0,36.8,Warning
SEG-01098,HYB-MAS,349.4,34.5,1.33,48.3,22,29,34,307,0,40.3,Warning
SEG-01099,MAS-CBE,65.8,30.3,2.05,37.9,27,20,173,262,0,34.7,Warning
SEG-01100,HYB-MAS,51.8,34.9,1.77,43.9,30,36,56,230,0,41.3,Warning
SEG-01101,MAS-CBE,34.5,38.8,3.07,30.0,33,33,149,191,0,38.4,Warning
SEG-01102,MAS-CBE,202.9,40.2,2.56,33.6,38,22,95,118,0,32.4,Warning
SEG-01103,ERS-MAS,219.8,30.0,1.04,54.8,43,8,166,53,0,28.5,Safe
SEG-01104,HYB-MAS,127.8,41.6,2.17,38.7,45,24,51,192,0,36.3,Warning
SEG-01105,MAS-CBE,187.4,38.2,1.29,42.7,48,37,74,60,0,36.5,Warning
SEG-01106,TVC-LTT,275.9,39.2,3.29,27.0,50,20,118,11,0,29.6,Safe
SEG-01107,MAS-NZM-2,286.3,45.2,2.17,38.6,53,12,75,260,0,34.3,Warning
SEG-01108,MAS-SBC,335.3,35.4,2.02,42.1,55,20,48,270,0,38.5,Warning
SEG-01109,MAS-SBC,288.5,31.9,1.96,45.8,58,20,128,141,0,36.3,Warning
SEG-01110,ERS-MAS,197.7,39.5,2.26,35.1,60,4,103,143,0,27.7,Safe
SEG-01111,HYB-MAS,62.9,47.3,0.72,52.5,62,30,183,113,0,38.1,Warning
SEG-01112,HYB-MAS,34.9,38.7,1.54,49.2,64,31,135,264,0,44.1,Warning
SEG-01113,MAS-CBE,19.1,45.0,1.06,55.6,69,22,90,344,0,44.1,Warning
SEG-01114,MAS-NZM,233.3,43.6,3.62,25.8,72,15,101,11,0,30.0,Safe
SEG-01115,MAS-CBE,282.6,38.6,2.17,37.4,75,38,72,99,0,40.9,Warning
SEG-01116,MAS-NZM-2,178.0,41.2,5.29,19.1,80,37,104,23,0,42.0,Warning
SEG-01117,TVC-LTT,19.1,36.4,1.86,37.5,83,28,105,239,0,40.8,Warning
SEG-01118,MAS-SBC,187.4,39.0,2.07,40.7,85,11,186,109,0,32.7,Warning
SEG-01119,MAS-CBE,327.5,38.5,1.6,41.8,87,14,95,263,0,37.2,Warning
SEG-01120,MAS-NZM,209.2,42.5,1.0,59.1,89,11,30,325,0,42.1,Warning
SEG-01121,MAS-NZM,283.3,36.6,2.83,31.0,91,9,95,160,0,32.8,Warning
SEG-01122,MAS-CBE,280.1,30.4,1.69,40.2,96,24,49,220,0,40.2,Warning
SEG-01123,ERS-MAS,326.2,44.1,2.17,38.5,98,10,98,172,0,34.6,Warning
SEG-01124,MAS-SBC,269.6,42.1,1.27,62.3,100,38,126,94,1,73.6,High
SEG-01125,ERS-MAS,261.7,47.6,0.52,69.0,105,37,101,122,1,74.5,High
SEG-01126,TVC-LTT,81.9,37.1,1.2,51.4,108,32,155,300,0,48.7,Warning
SEG-01127,MAS-NZM,21.0,30.2,3.13,30.8,111,20,39,197,0,40.3,Warning
SEG-01128,MAS-NZM,181.2,31.0,2.93,32.4,113,14,31,51,0,34.2,Warning
SEG-01129,MAS-NZM-2,43.6,44.1,3.93,25.2,116,38,86,317,0,51.2,Warning
SEG-01130,TVC-LTT,336.8,29.9,3.04,29.6,119,4,197,307,0,37.3,Warning
SEG-01131,MAS-NZM,101.5,46.8,1.43,46.5,121,24,145,20,0,38.1,Warning
SEG-01132,TVC-LTT,298.5,34.3,1.87,33.4,123,32,159,30,0,38.3,Warning
SEG-01133,MAS-SBC,135.7,46.6,0.6,61.4,125,10,73,300,0,43.4,Warning
SEG-01134,HYB-MAS,113.1,44.1,1.46,47.9,127,16,99,86,0,37.9,Warning
SEG-01135,MAS-NZM,327.3,46.2,1.5,50.7,130,39,143,230,0,51.8,Warning
SEG-01136,MAS-NZM-2,127.2,33.0,2.14,39.2,133,32,93,157,0,45.4,Warning
SEG-01137,MAS-SBC,136.6,40.7,2.26,38.1,135,18,166,181,0,40.9,Warning
SEG-01138,MAS-CBE,37.1,30.6,2.82,29.7,137,25,161,112,0,40.6,Warning
SEG-01139,TVC-LTT,234.7,32.8,1.55,41.6,139,7,199,139,0,35.1,Warning
SEG-01140,MAS-CBE,101.1,35.0,2.33,33.3,141,18,169,10,0,35.3,Warning
SEG-01141,ERS-MAS,205.0,43.6,1.26,44.8,144,18,151,291,0,44.0,Warning
SEG-01142,MAS-SBC,207.0,29.3,2.72,31.6,147,3,135,238,0,37.0,Warning
SEG-01143,MAS-CBE,251.7,46.8,1.48,43.9,149,1,78,132,0,34.0,Warning
SEG-01144,MAS-NZM,260.8,30.3,1.81,39.2,151,33,181,330,0,50.9,Warning
SEG-01145,TVC-LTT,180.1,36.4,0.75,69.1,153,7,83,185,1,69.5,High
SEG-01146,HYB-MAS,115.8,30.5,2.24,33.3,155,10,147,295,0,40.9,Warning
SEG-01147,MAS-SBC,293.1,44.2,2.1,42.2,157,8,37,208,0,40.6,Warning
SEG-01148,MAS-NZM,108.5,31.8,3.04,25.6,159,32,101,250,0,48.0,Warning
SEG-01149,MAS-NZM-2,177.6,46.6,1.05,58.0,162,23,50,350,0,52.8,Warning
SEG-01150,ERS-MAS,140.4,39.7,1.62,38.5,164,17,103,323,0,45.0,Warning
SEG-01151,TVC-LTT,299.3,47.9,1.68,50.0,166,14,61,89,0,41.7,Warning
SEG-01152,MAS-SBC,151.2,34.7,1.06,47.7,168,17,150,358,0,47.7,Warning
SEG-01153,MAS-SBC,135.1,38.0,1.97,38.3,170,25,104,362,0,50.5,Warning
SEG-01154,HYB-MAS,241.4,42.7,1.63,45.6,172,21,29,36,0,41.7,Warning
SEG-01155,HYB-MAS,210.9,45.4,2.67,29.9,177,6,90,4,0,33.3,Warning
SEG-01156,MAS-NZM-2,37.5,37.3,3.95,27.3,179,20,41,234,0,48.0,Warning
SEG-01157,ERS-MAS,177.9,46.7,1.37,40.7,184,20,170,330,0,47.9,Warning
SEG-01158,MAS-NZM-2,257.4,31.2,2.42,37.2,189,26,95,269,0,50.8,Warning
SEG-01159,MAS-NZM,347.2,43.0,1.56,47.7,191,32,32,70,0,48.8,Warning
SEG-01160,MAS-NZM,220.2,35.8,2.57,35.6,193,8,187,7,0,37.1,Warning
SEG-01161,MAS-NZM-2,129.6,30.9,3.88,23.8,195,29,142,156,0,49.1,Warning
SEG-01162,ERS-MAS,79.2,36.6,0.86,61.2,200,17,160,293,1,77.5,Critical
SEG-01163,MAS-NZM-2,305.5,46.4,1.35,57.1,202,18,116,286,1,77.9,Critical
SEG-01164,ERS-MAS,285.1,48.4,1.16,47.1,204,18,114,360,0,51.1,Warning
SEG-01165,ERS-MAS,81.9,36.8,3.41,30.3,206,11,70,74,0,41.8,Warning
SEG-01166,MAS-CBE,70.2,46.7,1.86,34.6,208,12,102,12,0,37.4,Warning
SEG-01167,TVC-LTT,250.3,39.1,1.97,37.7,210,15,115,337,0,49.0,Warning
SEG-01168,ERS-MAS,110.2,43.2,1.13,52.5,213,26,109,112,1,74.8,High
SEG-01169,HYB-MAS,107.2,29.9,2.42,36.8,215,3,145,30,0,37.5,Warning
SEG-01170,ERS-MAS,53.3,40.0,1.09,43.7,217,3,32,36,0,36.2,Warning
SEG-01171,ERS-MAS,92.4,30.4,3.81,24.3,219,38,176,344,0,59.5,High
SEG-01172,ERS-MAS,149.6,34.2,2.03,41.4,222,35,194,230,0,56.0,High
SEG-01173,MAS-CBE,256.5,40.3,1.62,36.6,227,9,173,277,0,45.0,Warning
SEG-01174,MAS-CBE,117.7,45.1,2.28,38.8,229,4,137,106,0,41.4,Warning
SEG-01175,MAS-NZM,115.0,40.2,1.07,44.4,0,20,170,288,0,32.5,Warning
SEG-01176,MAS-CBE,99.7,47.8,2.39,37.8,3,15,94,250,0,31.6,Warning
SEG-01177,HYB-MAS,167.4,45.3,1.52,42.0,6,29,38,63,0,30.8,Warning
SEG-01178,HYB-MAS,63.2,32.2,2.54,39.4,9,5,117,44,0,23.6,Safe
SEG-01179,MAS-CBE,170.0,36.9,1.34,60.4,12,39,130,149,0,43.1,Warning
SEG-01180,MAS-NZM-2,246.5,42.5,1.59,43.4,14,7,197,46,0,23.4,Safe
SEG-01181,TVC-LTT,10.4,47.9,2.11,35.6,16,8,127,175,0,26.3,Safe
SEG-01182,MAS-CBE,3.4,48.8,1.23,52.1,21,32,54,154,0,38.2,Warning
SEG-01183,ERS-MAS,26.3,44.4,1.41,48.1,23,36,196,261,0,41.9,Warning
SEG-01184,MAS-SBC,187.5,40.6,2.01,40.5,25,33,193,133,0,36.6,Warning
SEG-01185,TVC-LTT,299.1,44.3,1.92,47.5,27,37,112,287,0,44.6,Warning
SEG-01186,TVC-LTT,1.7,34.6,1.88,46.5,29,32,119,156,0,38.9,Warning
SEG-01187,HYB-MAS,327.8,34.8,1.45,47.8,31,36,178,333,0,44.5,Warning
SEG-01188,TVC-LTT,37.2,42.3,2.06,38.0,33,34,115,241,0,39.9,Warning
SEG-01189,MAS-CBE,294.7,46.6,1.0,52.1,36,25,103,331,0,40.9,Warning
SEG-01190,ERS-MAS,169.0,48.4,3.64,27.5,38,32,169,127,0,37.5,Warning
SEG-01191,ERS-MAS,230.8,35.9,1.7,42.1,41,2,86,193,0,27.5,Safe
SEG-01192,MAS-NZM,178.7,45.0,3.54,28.0,43,9,155,269,0,33.1,Warning
SEG-01193,ERS-MAS,167.0,46.1,1.53,43.7,46,38,38,122,0,39.5,Warning
SEG-01194,ERS-MAS,292.2,41.4,1.04,50.8,49,29,50,146,0,38.0,Warning
SEG-01195,HYB-MAS,264.6,35.8,1.97,43.1,51,38,51,152,0,41.9,Warning
SEG-01196,ERS-MAS,169.2,41.2,1.4,47.9,54,18,74,157,0,34.7,Warning
SEG-01197,MAS-NZM,39.1,40.5,1.89,34.7,57,22,122,156,0,33.3,Warning
SEG-01198,MAS-SBC,40.4,40.9,1.59,47.6,60,35,178,102,0,40.5,Warning
SEG-01199,MAS-CBE,280.5,41.1,2.26,36.5,63,15,70,340,0,37.9,Warning
SEG-01200,HYB-MAS,185.3,45.7,4.72,20.4,68,7,141,252,0,34.8,Warning
SEG-01201,MAS-SBC,168.6,32.2,1.53,55.9,71,13,111,267,0,40.3,Warning
SEG-01202,HYB-MAS,238.2,36.1,2.85,41.0,74,36,174,307,0,49.1,Warning
SEG-01203,MAS-NZM-2,300.6,40.6,1.09,51.4,76,16,195,59,0,33.2,Warning
SEG-01204,TVC-LTT,220.1,34.5,1.41,47.6,79,21,129,340,0,42.7,Warning
SEG-01205,MAS-NZM-2,267.0,48.3,2.05,34.5,84,28,62,105,0,36.7,Warning
SEG-01206,ERS-MAS,267.8,33.9,1.18,54.5,86,10,198,269,0,38.9,Warning
SEG-01207,MAS-SBC,124.7,38.1,0.87,53.5,88,19,94,47,0,35.0,Warning
SEG-01208,ERS-MAS,95.9,46.4,2.36,34.9,93,17,90,88,0,33.9,Warning
SEG-01209,TVC-LTT,280.4,30.5,1.87,44.1,96,1,91,171,0,32.1,Warning
SEG-01210,HYB-MAS,132.0,45.3,7.99,13.3,98,13,197,152,0,44.0,Warning
SEG-01211,TVC-LTT,316.2,40.3,2.15,39.0,103,36,122,176,0,45.0,Warning
SEG-01212,MAS-NZM,24.4,29.4,1.44,46.9,105,20,60,319,0,43.7,Warning
SEG-01213,TVC-LTT,20.4,46.8,1.11,56.5,110,6,198,145,0,36.3,Warning
SEG-01214,MAS-NZM,324.5,29.4,2.23,38.9,112,23,97,325,0,45.1,Warning
SEG-01215,TVC-LTT,227.0,39.0,3.06,33.0,115,24,43,310,0,45.8,Warning
SEG-01216,MAS-CBE,132.9,29.6,3.15,28.4,118,5,49,222,0,35.2,Warning
SEG-01217,MAS-NZM,264.3,30.2,2.01,41.0,120,32,71,15,0,40.7,Warning
SEG-01218,MAS-SBC,235.3,46.6,1.67,43.5,122,17,197,138,0,38.4,Warning
SEG-01219,ERS-MAS,185.9,44.2,3.11,30.7,124,11,76,250,0,39.3,Warning
SEG-01220,ERS-MAS,34.6,32.7,1.1,41.8,127,27,98,150,0,40.6,Warning
SEG-01221,MAS-NZM-2,284.3,41.3,2.38,29.4,130,4,136,351,0,37.3,Warning
SEG-01222,ERS-MAS,303.1,44.7,1.34,46.4,132,23,50,269,0,45.1,Warning
SEG-01223,HYB-MAS,60.3,46.6,1.34,59.0,135,23,95,81,0,44.5,Warning
SEG-01224,MAS-CBE,297.7,38.2,1.89,48.1,137,34,49,65,0,46.2,Warning
SEG-01225,TVC-LTT,307.2,46.9,3.46,25.7,139,21,132,142,0,40.7,Warning
SEG-01226,MAS-NZM-2,192.3,39.1,1.89,41.5,141,22,157,300,0,46.2,Warning
SEG-01227,HYB-MAS,229.7,42.7,1.86,42.5,146,1,191,247,0,37.6,Warning
SEG-01228,HYB-MAS,133.8,48.5,1.48,42.1,148,32,153,193,0,46.6,Warning
SEG-01229,MAS-NZM,98.6,33.7,2.42,38.2,150,28,174,283,0,49.2,Warning
SEG-01230,ERS-MAS,252.7,32.3,0.79,53.5,153,18,39,254,0,45.2,Warning
SEG-01231,MAS-SBC,301.7,35.8,4.14,23.5,155,7,39,173,0,38.8,Warning
SEG-01232,MAS-SBC,228.9,32.3,2.54,40.7,158,38,31,313,0,55.6,High
SEG-01233,MAS-NZM-2,179.1,34.7,1.93,37.1,161,6,104,278,0,39.8,Warning
SEG-01234,MAS-CBE,55.6,43.9,1.14,55.6,163,14,68,290,0,47.3,Warning
SEG-01235,MAS-SBC,18.7,38.6,7.4,14.0,166,30,199,306,0,58.5,High
SEG-01236,TVC-LTT,156.0,36.5,2.83,31.4,171,14,29,310,0,45.2,Warning
SEG-01237,MAS-SBC,17.3,36.3,1.11,46.6,176,9,24,186,0,40.4,Warning
SEG-01238,MAS-NZM-2,199.3,32.8,1.94,37.3,181,31,83,356,0,53.0,Warning
SEG-01239,MAS-SBC,134.0,37.9,2.6,32.6,184,2,155,224,0,39.1,Warning
SEG-01240,TVC-LTT,265.0,41.5,1.83,39.3,187,18,177,62,0,40.9,Warning
SEG-01241,MAS-NZM,107.0,31.8,2.72,31.3,192,5,36,84,0,37.0,Warning
SEG-01242,MAS-CBE,207.5,48.4,2.64,32.4,194,26,86,27,0,43.6,Warning
SEG-01243,MAS-NZM-2,188.2,37.8,1.75,44.4,197,23,40,320,0,52.2,Warning
SEG-01244,MAS-NZM,1.6,47.9,1.54,53.4,199,12,35,131,0,45.5,Warning
SEG-01245,MAS-NZM,25.3,31.6,3.25,28.4,202,14,46,127,0,42.9,Warning
SEG-01246,MAS-NZM,101.6,44.3,2.44,33.4,204,13,134,11,0,38.8,Warning
SEG-01247,HYB-MAS,308.8,41.4,2.82,33.3,207,35,25,280,0,55.8,High
SEG-01248,MAS-CBE,51.5,45.5,2.01,42.9,212,15,61,285,0,49.6,Warning
SEG-01249,ERS-MAS,248.8,41.1,1.87,40.2,214,35,163,197,0,53.5,Warning
SEG-01250,MAS-CBE,340.7,48.4,1.74,36.8,216,19,192,225,0,46.9,Warning
SEG-01251,HYB-MAS,276.7,41.7,2.22,36.1,218,15,22,264,0,47.8,Warning
SEG-01252,ERS-MAS,85.0,44.9,1.11,48.7,220,8,59,275,0,46.7,Warning
SEG-01253,MAS-CBE,317.9,46.9,2.12,41.5,223,23,39,68,0,47.4,Warning
SEG-01254,MAS-NZM,32.6,43.6,0.82,57.3,0,13,26,233,0,32.1,Warning
SEG-01255,MAS-NZM-2,163.8,39.8,1.53,49.4,2,23,78,99,0,31.7,Warning
SEG-01256,ERS-MAS,310.6,34.8,1.46,50.7,7,31,158,222,0,38.7,Warning
SEG-01257,TVC-LTT,224.4,46.4,2.14,37.7,12,30,112,124,0,33.7,Warning
SEG-01258,TVC-LTT,144.8,39.0,1.73,43.0,15,2,71,304,0,28.9,Safe
SEG-01259,MAS-SBC,102.5,41.8,1.51,50.4,17,11,150,102,0,28.8,Safe
SEG-01260,ERS-MAS,131.3,30.9,0.65,48.5,19,25,40,320,0,36.9,Warning
SEG-01261,MAS-NZM-2,178.1,39.4,2.1,33.8,22,29,177,264,0,36.4,Warning
SEG-01262,HYB-MAS,111.7,43.4,4.17,25.2,24,22,30,230,0,36.3,Warning
SEG-01263,MAS-NZM,339.1,41.3,2.79,33.0,29,19,172,123,0,31.2,Warning
SEG-01264,MAS-SBC,326.6,38.6,1.35,56.9,34,9,69,227,0,34.6,Warning
SEG-01265,TVC-LTT,304.7,34.1,6.26,15.7,36,38,28,228,0,46.2,Warning
SEG-01266,HYB-MAS,147.6,35.9,2.27,35.7,39,29,64,153,0,35.9,Warning
SEG-01267,HYB-MAS,242.0,43.9,2.71,34.8,41,10,48,309,0,34.2,Warning
SEG-01268,MAS-NZM,316.0,34.4,2.22,38.7,43,22,81,305,0,38.7,Warning
SEG-01269,ERS-MAS,297.7,42.3,1.91,45.8,46,24,34,328,0,41.8,Warning
SEG-01270,TVC-LTT,145.0,41.7,1.74,41.8,48,8,38,149,0,29.1,Safe
SEG-01271,MAS-NZM-2,39.3,49.3,0.63,65.9,50,6,162,307,0,37.8,Warning
SEG-01272,HYB-MAS,26.5,31.1,1.87,40.5,53,7,186,9,0,25.3,Safe
SEG-01273,MAS-NZM,202.0,32.0,2.29,38.1,58,20,54,320,0,39.5,Warning
SEG-01274,MAS-NZM-2,224.9,40.1,1.33,48.2,63,17,160,224,0,36.7,Warning
SEG-01275,ERS-MAS,297.4,40.5,2.11,40.2,65,36,163,23,0,38.1,Warning
SEG-01276,TVC-LTT,102.4,30.7,1.13,47.6,70,8,86,192,0,32.2,Warning
SEG-01277,ERS-MAS,58.6,46.6,3.06,34.4,73,13,114,227,0,36.6,Warning
SEG-01278,HYB-MAS,132.7,39.9,1.4,46.5,76,24,74,54,0,35.4,Warning
SEG-01279,MAS-NZM-2,123.8,37.0,1.34,52.9,79,31,54,92,0,41.3,Warning
SEG-01280,MAS-NZM-2,46.4,36.5,2.11,40.1,81,23,35,15,0,34.2,Warning
SEG-01281,MAS-NZM-2,235.3,47.4,2.05,37.1,84,17,148,308,0,39.0,Warning
SEG-01282,HYB-MAS,178.0,34.1,1.51,54.3,89,24,197,179,0,42.8,Warning
SEG-01283,HYB-MAS,252.4,33.4,2.2,36.1,94,10,33,4,0,29.0,Safe
SEG-01284,ERS-MAS,123.4,34.4,1.09,45.4,96,31,81,101,0,39.5,Warning
SEG-01285,MAS-SBC,114.0,42.8,5.73,15.3,98,20,154,130,1,64.9,High
SEG-01286,ERS-MAS,165.4,46.6,1.89,41.7,100,16,170,7,0,32.8,Warning
SEG-01287,TVC-LTT,307.1,37.0,2.41,40.3,103,14,118,184,0,38.2,Warning
SEG-01288,MAS-NZM,14.1,33.8,1.46,41.5,105,3,48,331,0,35.8,Warning
SEG-01289,MAS-NZM-2,281.7,34.5,1.59,48.2,107,30,169,332,0,48.8,Warning
SEG-01290,MAS-SBC,129.1,42.8,2.72,32.2,110,18,112,35,0,34.3,Warning
SEG-01291,MAS-NZM,299.1,35.4,1.52,45.8,113,6,25,232,0,36.5,Warning
SEG-01292,MAS-SBC,280.8,48.0,2.95,28.4,115,20,176,154,0,38.1,Warning
SEG-01293,MAS-CBE,122.1,32.6,4.07,23.8,118,35,108,64,0,43.3,Warning
SEG-01294,ERS-MAS,242.9,31.2,2.41,33.4,121,19,21,247,0,40.9,Warning
SEG-01295,HYB-MAS,55.9,32.4,1.85,40.3,126,26,115,56,0,39.3,Warning
SEG-01296,MAS-NZM-2,313.7,47.5,1.36,54.3,128,35,55,229,0,50.9,Warning
SEG-01297,ERS-MAS,141.6,43.6,2.64,34.1,130,12,115,311,0,41.6,Warning
SEG-01298,MAS-NZM,159.5,49.8,1.51,42.4,132,8,167,253,0,38.2,Warning
SEG-01299,MAS-CBE,247.0,37.3,1.02,53.6,134,37,56,293,0,52.7,Warning
SEG-01300,MAS-CBE,287.3,34.8,1.69,40.2,137,10,121,52,0,33.6,Warning
SEG-01301,MAS-CBE,82.7,41.8,0.9,57.0,140,21,199,15,0,40.3,Warning
SEG-01302,MAS-NZM,231.5,41.3,1.83,32.8,142,29,88,342,0,46.9,Warning
SEG-01303,MAS-NZM,137.2,42.3,1.96,45.7,144,31,89,340,0,52.6,Warning
SEG-01304,MAS-NZM,129.0,37.5,2.47,42.5,146,7,169,363,0,44.8,Warning
SEG-01305,MAS-NZM,241.5,30.8,5.41,19.6,148,34,126,180,0,51.0,Warning
SEG-01306,MAS-CBE,135.5,31.4,2.93,30.4,150,34,34,77,0,44.6,Warning
SEG-01307,MAS-CBE,121.1,43.9,1.86,41.4,152,30,117,215,0,47.6,Warning
SEG-01308,MAS-SBC,292.6,41.1,1.48,42.1,154,4,66,223,0,37.4,Warning
SEG-01309,ERS-MAS,35.4,47.2,3.39,25.0,156,30,127,154,0,45.3,Warning
SEG-01310,MAS-NZM-2,236.6,36.8,2.83,31.1,158,25,127,45,0,41.0,Warning
SEG-01311,HYB-MAS,87.1,47.1,1.92,50.2,160,14,88,352,0,49.2,Warning
SEG-01312,MAS-CBE,5.4,39.3,2.44,30.2,162,24,71,21,0,38.8,Warning
SEG-01313,HYB-MAS,58.4,32.7,1.78,42.6,164,31,186,81,0,45.5,Warning
SEG-01314,ERS-MAS,212.3,50.3,1.11,56.9,166,39,21,53,0,50.8,Warning
SEG-01315,ERS-MAS,248.2,41.1,2.72,34.5,168,28,64,157,0,46.8,Warning
SEG-01316,HYB-MAS,7.4,43.4,2.05,45.0,171,25,171,147,0,47.2,Warning
SEG-01317,MAS-CBE,12.7,44.3,1.97,36.7,173,19,130,182,0,43.0,Warning
SEG-01318,HYB-MAS,315.9,38.1,1.51,46.3,175,4,111,78,0,36.6,Warning
SEG-01319,MAS-SBC,25.7,45.8,2.41,33.3,177,34,141,119,0,47.4,Warning
SEG-01320,TVC-LTT,313.0,48.3,4.43,24.4,180,32,84,359,0,56.4,High
SEG-01321,MAS-CBE,79.9,38.6,2.17,38.1,182,25,135,343,0,51.4,Warning
SEG-01322,MAS-CBE,259.0,43.9,1.13,53.0,185,22,168,105,0,46.0,Warning
SEG-01323,MAS-NZM-2,108.4,45.9,1.65,49.9,187,28,146,2,0,46.1,Warning
SEG-01324,MAS-NZM,300.6,34.6,1.12,51.7,192,18,86,115,0,44.9,Warning
SEG-01325,TVC-LTT,245.2,37.3,0.44,74.5,194,7,113,32,1,69.4,High
SEG-01326,ERS-MAS,140.6,32.8,2.32,36.8,197,11,148,358,0,47.8,Warning
SEG-01327,MAS-CBE,26.7,42.8,1.41,46.5,202,11,78,62,0,40.7,Warning
SEG-01328,HYB-MAS,256.4,46.7,3.76,26.8,204,9,134,97,0,41.3,Warning
SEG-01329,TVC-LTT,215.9,42.9,3.21,28.8,206,35,135,135,0,51.3,Warning
SEG-01330,MAS-NZM-2,1.0,34.2,2.88,30.4,209,37,66,98,0,50.9,Warning
SEG-01331,ERS-MAS,3.3,41.7,3.07,30.2,214,23,128,215,0,49.7,Warning
SEG-01332,MAS-NZM,283.1,47.4,3.51,26.8,216,33,37,84,0,50.2,Warning
SEG-01333,MAS-NZM,90.8,36.9,4.07,24.0,221,1,132,157,0,41.3,Warning
SEG-01334,MAS-NZM-2,222.6,47.5,2.27,35.4,223,20,52,107,0,45.7,Warning
SEG-01335,MAS-NZM-2,159.0,46.5,1.15,49.1,226,5,162,357,1,73.5,High
SEG-01336,HYB-MAS,302.2,31.3,1.18,53.8,228,29,43,131,1,78.2,Critical
SEG-01337,MAS-CBE,320.9,35.5,2.42,32.6,230,26,55,22,0,45.7,Warning
SEG-01338,MAS-NZM,348.9,41.4,2.59,36.0,0,38,79,84,0,35.4,Warning
SEG-01339,ERS-MAS,53.8,44.8,3.22,27.2,5,3,181,89,0,21.7,Safe
SEG-01340,TVC-LTT,302.0,48.1,2.91,31.5,7,21,109,226,0,32.9,Warning
